1,32,1998610,2,,
2,4,3998362,1,,
3,4,5999590,1,,
4,4,7998646,2,,
5,4,9998066,1,,
6,4,11998825,1,,
7,4,13998298,1,,
8,16,15998310,2,,
9,8,17999500,2,,
10,4,19998951,2,,
11,4,21996431,1,,
12,4,23999132,2,,
13,16,25998718,1,,
14,32,27997960,2,,
15,32,29999782,1,,
16,8,32001135,1,,
17,4,34001989,2,,
18,8,36000754,1,,
19,4,38000524,2,,
20,4,39997641,1,,
21,32,41994323,2,,
22,8,43994703,1,,
23,4,45991196,2,,
24,32,47990495,1,,
25,4,49988490,1,,
26,4,51988753,2,,
27,4,53989228,1,,
28,16,55988326,2,,
29,4,57988239,1,,
30,16,59987763,2,,
31,32,61987571,2,,
32,16,63985686,2,,
33,16,65986702,1,,
34,8,67986590,1,,
35,8,69985411,1,,
36,32,71985078,1,,
37,4,73984826,1,,
38,4,75987231,1,,
39,4,77988093,2,,
40,16,79989146,1,,
41,8,81989689,1,,
42,32,83988041,1,,
43,32,85988153,1,,
44,8,87988075,1,,
45,4,89988221,1,,
46,4,91985259,1,,
47,32,93986419,2,,
48,8,95987741,2,,
49,4,97991830,2,,
50,8,99989848,1,,
51,8,101989129,2,,
52,4,103988962,2,,
53,16,105990875,2,,
54,4,107990253,2,,
55,8,109992418,2,,
56,16,111993376,1,,
57,32,113994600,1,,
58,4,115993725,2,,
59,32,117993048,2,,
60,16,119990488,2,,
61,4,121989758,2,,
62,8,123991455,2,,
63,16,125989949,1,,
64,8,127989194,2,,
65,16,129986838,2,,
66,8,131987805,1,,
67,32,133988014,2,,
68,4,135986970,2,,
69,32,137988178,1,,
70,16,139989309,2,,
71,32,141989959,2,,
72,16,143988629,1,,
73,32,145988808,2,,
74,32,147990840,1,,
75,4,149991215,2,,
76,32,151990485,2,,
77,8,153989233,1,,
78,32,155988687,1,,
79,32,157989930,2,,
80,16,159990427,2,,
81,16,161992025,2,,
82,4,163991802,2,,
83,8,165991246,2,,
84,32,167991149,1,,
85,32,169991723,2,,
86,4,171990207,2,,
87,4,173988351,1,,
88,32,175988771,2,,
89,32,177989289,2,,
90,16,179990238,2,,
91,8,181986611,1,,
92,16,183985694,1,,
93,4,185983318,2,,
94,8,187983354,2,,
95,16,189983883,1,,
96,8,191983671,2,,
97,16,193983593,1,,
98,32,195983080,1,,
99,4,197985549,2,,
100,4,199984943,2,,
