1,12,9901,1
2,4,19883,1
3,4,29970,1
4,4,39903,1
5,4,49862,1
6,4,59916,1
7,4,69879,1
8,8,79880,1
9,6,89964,1
10,4,99925,1
11,4,109747,1
12,4,119938,1
13,8,129909,1
14,12,139855,1
15,12,149984,1
16,6,160080,1
17,4,170140,1
18,6,180052,1
19,4,190036,1
20,4,199832,1
21,12,209598,1
22,6,219625,1
23,4,229377,1
24,12,239327,1
25,4,249185,1
26,4,259204,1
27,4,269238,1
28,8,279174,1
29,4,289168,1
30,8,299134,1
31,12,309120,1
32,8,318987,1
33,8,329059,1
34,6,339051,1
35,6,348967,1
36,12,358943,1
37,4,368925,1
38,4,379095,1
39,4,389156,1
40,8,399231,1
41,6,409269,1
42,12,419152,1
43,12,429160,1
44,6,439154,1
45,4,449164,1
46,4,458955,1
47,12,469037,1
48,6,479131,1
49,4,489420,1
50,6,499280,1
51,6,509229,1
52,4,519217,1
53,8,529352,1
54,4,539308,1
55,6,549461,1
56,8,559529,1
57,12,569616,1
58,4,579554,1
59,12,589506,1
60,8,599325,1
61,4,609273,1
62,6,619393,1
63,8,629286,1
64,6,639232,1
65,8,649065,1
66,6,659133,1
67,12,669148,1
68,4,679074,1
69,12,689159,1
70,8,699239,1
71,12,709285,1
72,8,719191,1
73,12,729204,1
74,12,739231,1
75,4,749179,1
76,12,759090,1
77,6,769051,1
78,12,779139,1
79,12,789174,1
80,8,799287,1
81,8,809271,1
82,4,819231,1
83,6,829224,1
84,12,839265,1
85,12,849158,1
86,4,859027,1
87,4,869057,1
88,12,879094,1
89,12,889161,1
90,8,898905,1
91,6,908840,1
92,8,918672,1
93,4,928675,1
94,6,938712,1
95,8,948697,1
96,6,958691,1
97,8,968655,1
98,12,978830,1
99,4,988787,1
100,4,998746,1
